Product,Ingredients,Type,# of Ingredients,Actives,Properties,Caution,Most Similar,Similarity Score,in_degree,incoming_products,anchor_score,cluster
Dr Brenner C Serum,"['AQUA', 'ETHOXYDIGLYCOL', 'L-ASCORBIC ACID (VITAMIN C) 20%', 'PROPYLENE GLYCOL', 'GLYCERIN', 'LAURETH-23', 'TOCOPHEROL (VITAMIN E) 1%', 'SODIUM HYALURONATE (HYALURONIC ACID ) 1%', 'FERULIC ACID .5%', 'PANTHENOL', 'TRIETHANOLAMINE', 'PHENOXYETHANOL']",serum,12,"[['ASCORBIC ACID', 'L-ASCORBIC ACID'], ['HYALURONIC ACID', 'SODIUM HYALURONATE', 'GLYCERIN']]","['vitamin c', 'humectant']",['DO NOT use with AHA/BHA'],Skinceuticals CE Ferulic,50.0,1,['Skinceuticals CE Ferulic'],0.25,4
Estee Lauder  Advaned Night Repair Eye Gel Crème,"['AQUA', 'DIMETHICONE', 'METHYL TRIMETHICONE', 'BIFIDA FERMENT LYSATE', 'DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER', 'PROPANEDIOL', 'PETROLATUM', 'SUCROSE', 'GLYCERIN', 'BUTYLENE GLYCOL', 'ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER', 'TREHALOSE', 'TRIPEPTIDE-32', 'ADANSONIA DIGITATA SEED EXTRACT', 'LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER EXTRACT', 'SODIUM HYALURONATE', 'LACTOBACILLUS FERMENT', 'TOCOPHERYL ACETATE', 'YEAST EXTRACT\\FAEX\\EXTRAIT DE LEVURE', 'HYPNEA MUSCIFORMIS EXTRACT', 'SODIUM RNA', 'CAFFEINE', 'SQUALANE', 'ANTHEMIS NOBILIS FLOWER OIL', 'PORIA COCOS SCLEROTIUM EXTRACT', 'CITRULLUS LANATUS (WATERMELON) FRUIT EXTRACT', 'LENS ESCULENTA (LENTIL) FRUIT EXTRACT', 'PYRUS MALUS (APPLE) FRUIT EXTRACT', 'ETHYLHEXYLGLYCERIN', 'SODIUM PCA', 'PHYTOSPHINGOSINE', 'HYDROLYZED ALGIN', ""HORDEUM DISTICHON (BARLEY) EXTRACT\\EXTRAIT D'ORGE A DEUX RANGS"", 'JOJOBA ESTERS', 'TRITICUM VULGARE (WHEAT) GERM OIL', 'HYDROGENATED LECITHIN', 'LECITHIN', 'ISOHEXADECANE', 'JOJOBA ALCOHOL', 'ISOPROPYL JOJOBATE', 'PEG/PPG-18/18 DIMETHICONE', 'POLYSORBATE 80', 'ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER', 'TROMETHAMINE', 'SORBITAN OLEATE', 'SODIUM LACTATE', 'POLYSORBATE 40', 'POTASSIUM GLUCONATE', 'TOCOPHEROL', 'BHT', 'PHENOXYETHANOL', 'POTASSIUM SORBATE', 'SODIUM BENZOATE', 'IRON OXIDES (CI 77491)', 'IRON OXIDES (CI 77492)\xa0<ILN50654>']",moisturizer,55,"[['SODIUM HYALURONATE', 'GLYCERIN'], 'TRIPEPTIDE-32']","['humectant', 'peptides']",[],Cera Ve Skin Renewing Night Cream,13.095238095238097,0,,0.0,3
Inkey List Hyalouronic Acid,"['AQUA', 'PROPANEDIOL', 'GLYCERIN', 'BUTYLENE GLYCOL', 'SODIUM HYALURONATE', 'AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER', 'LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE', 'HYALURONIC ACID', 'CARBOMER', 'POLYSORBATE 20', 'PALMITOYL TETRAPEPTIDE-7', 'PALMITOYL TRIPEPTIDE-1', 'PHENOXYETHANOL']",serum,13,"[['HYALURONIC ACID', 'SODIUM HYALURONATE', 'GLYCERIN'], 'PALMITOYL TETRAPEPTIDE-7', 'PALMITOYL TRIPEPTIDE-1']","['humectant', 'peptides']",[],Kiels Hyalouronic Acid Serum,25.0,2,"['ErnoLaszlo Timeless Serum', 'Laniege Cream Skin Milky Toner']",0.5,2
Kiels Hyalouronic Acid Serum,"['AQUA', 'GLYCERIN', 'SODIUM HYALURONATE', 'PHENOXYETHANOL', 'CHLORPHENESIN', 'TETRASODIUM GLUTAMATE DIACETATE', 'CITRIC ACID']",serum,7,"[['CITRIC ACID'], ['SODIUM HYALURONATE', 'GLYCERIN']]","['aha-exfoliant', 'humectant']",['DO NOT use with vit C'],Skinceuticals CE Ferulic,26.666666666666668,1,['Inkey List Hyalouronic Acid'],0.25,2
Suday Riley Lactic Acid Serum,"['BOTANICAL BLEND [WATER/EAU/AQUA', 'OPUNTIA TUNA FRUIT EXTRACT', 'CYPRIPEDIUM PUBESCENS EXTRACT', 'OPUNTIA VULGARIS LEAF EXTRACT', 'AGAVE TEQUILANA LEAF EXTRACT', 'ARNICA MONTANA FLOWER EXTRACT', 'ALOE BARBADENSIS LEAF EXTRACT', 'SACCHAROMYCES CEREVISIAE (YEAST) EXTRACT', 'LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE]', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'SQUALANE', 'LACTIC ACID', 'PPG-12/SMDI COPOLYMER', 'PROPANEDIOL', 'BUTYLENE GLYCOL', 'STEARIC ACID', 'DIMETHICONE', 'CETEARYL ALCOHOL', 'PHENYL TRIMETHICONE', 'DISILOXANE', 'CETEARETH-20', 'GLYCERYL STEARATE', 'PEG-100 STEARATE', 'STEARYL GLYCYRRHETINATE', 'GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT', 'CYMBOPOGON SCHOENANTHUS (LEMONGRASS) OIL', 'POTASSIUM HYDROXIDE', 'PHENOXYETHANOL', 'XANTHAN GUM', 'CAPRYLYL GLYCOL', 'CHLORPHENESIN', 'SODIUM PHYTATE']",serum,32,[['LACTIC ACID']],['aha-exfoliant'],['DO NOT use with vit C'],Cera Ve Skin Renewing Night Cream,10.76923076923077,0,,0.0,3
CHANEL sublimage lessence de teint,"['AQUA', 'DIMETHICONE ', 'CAPRYLYL METHICONE ', 'HYDROGENATED POLYISOBUTENE ', 'GLYCERIN ', 'ISODODECANE ', 'PENTYLENE GLYCOL ', 'BUTYLENE GLYCOL ', 'PHENYL TRIMETHICONE ', 'POLYGLYCERYL-2 TRIISOSTEARATE ', 'LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE ', 'ISONONYL ISONONANOATE ', 'ACRYLATES/POLYTRIMETHYLSILOXYMETHACRYLATE COPOLYMER ', 'DIMETHICONE CROSSPOLYMER ', 'PEG-10 DIMETHICONE ', 'SODIUM POTASSIUM ALUMINUM SILICATE ', 'VANILLA PLANIFOLIA FRUIT WATER ', 'VANILLA PLANIFOLIA FLOWER EXTRACT ', 'COCO-CAPRYLATE/CAPRATE ', 'DISTEARDIMONIUM HECTORITE ', 'ALUMINUM HYDROXIDE ', 'POTASSIUM SORBATE ', 'DEXTRIN ISOSTEARATE ', 'MAGNESIUM SULFATE ', 'PARFUM (FRAGRANCE) ', 'ACRYLATES/DIMETHICONE COPOLYMER ', 'CAPRYLYL GLYCOL ', 'SILICA ', 'PROPYLENE CARBONATE ', 'POLYQUATERNIUM-51 ', 'SODIUM ACETYLATED HYALURONATE ', 'TRIETHOXYCAPRYLYLSILANE ', 'CHLORPHENESIN ', 'TOCOPHEROL ', '[+ / - (MAY CONTAIN) ', 'CI 77007 (ULTRAMARINES) ', 'CI 77491', '', 'CI 77492', '', 'CI 77499 (IRON OXIDES) ', 'CI 77891 (TITANIUM DIOXIDE) ', 'MICA] ', 'BS000416A']",Foundation,44,"[['SODIUM ACETYLATED HYALURONATE', 'GLYCERIN']]",['humectant'],[],CHANEL Water Fresh Tint,26.229508196721312,1,['CHANEL Water Fresh Tint'],0.25,0
Chantecaille Future Skin Oil-Free Foundation,"['AQUA', 'METHYL TRIMETHICONE', 'MICA', 'DIMETHICONE', 'CETYL PEG/PPG-10/1 DIMETHICONE', 'BUTYLENE GLYCOL', 'PENTYLENE GLYCOL', 'GLYCERIN', 'DIETHYLHEXYL SUCCINATE', 'SODIUM CHLORIDE', 'SILICA', 'DISTEARDIMONIUM HECTORITE', 'ALUMINUM HYDROXIDE', 'SORBITAN SESQUIISOSTEARATE', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'GLYCOSYL TREHALOSE', 'HYDROGENATED STARCH HYDROLYSATE', 'ISOSTEARIC ACID', 'ETHYLHEXYLGLYCERIN', 'HYDROGEN DIMETHICONE', 'PISTACIA LENTISCUS (MASTIC) GUM', 'LECITHIN', 'SPIRODELA POLYRHIZA EXTRACT', 'INONOTUS OBLIQUUS (MUSHROOM) EXTRACT', 'ALCOHOL', 'GLYCERYL CAPRYLATE/CAPRATE', 'LAMINARIA SACCHARINA EXTRACT', 'CAMELLIA SINENSIS (TEA) LEAF EXTRACT', 'ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT', 'ARNICA MONTANA (ARNICA) FLOWER EXTRACT', 'ORYZA SATIVA (RICE) BRAN EXTRACT', 'CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT', 'ZINC SULFATE', 'ALOE BARBADENSIS LEAF EXTRACT', 'NATTO GUM', 'PYRIDOXINE HCI', 'PHENOXYETHANOL', 'TITANIUM DIOXIDE (CL 77891)', 'IRON OXIDES']",Foundation,39,[['GLYCERIN']],['humectant'],[],Medik8 Retinol,10.126582278481013,0,,0.0,3
Armani Luminous Silk Foundation,"['AQUA', 'CYCLOPENTASILOXANE', 'GLYCERIN', 'ISODODECANE', 'ALCOHOL DENAT.', 'POLYGLYCERYL-4 ISOSTEARATE', 'CETYL PEG/PPG-10/1 DIMETHICONE', 'HEXYL LAURATE', 'ALUMINUM STARCH OCTENYLSUCCINATE', 'DISTEARDIMONIUM HECTORITE', 'PHENOXYETHANOL', 'ACETYLATED GLYCOL STEARATE', 'MAGNESIUM SULFATE', 'PEG-10 DIMETHICONE', 'TRIHYDROXYSTEARIN', 'CELLULOSE GUM', 'NYLON-12', 'LIMONENE', 'BENZYL SALICYLATE', 'BENZYL ALCOHOL', 'LINALOOL', 'PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE', 'ISOBUTANE', 'DIPHENYL DIMETHICONE', 'ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORIDECOPOLYMER', 'PARFUM / FRAGRANCE', 'DISODIUM STEAROYL GLUTAMATE', 'METHYLPARABEN', 'BUTYLPHENYL METHYLPROPIONAL', 'ALUMINUM HYDROXIDE', 'HEXYL CINNAMAL.<BR><BR>MAY CONTAIN: CI 77891 / TITANIUM DIOXIDE', 'CI 77491', 'CI 77492', 'CI 77499 / IRON OXIDES']",Foundation,34,[['GLYCERIN']],['humectant'],[],Triple Lipid Restore,14.285714285714285,0,,0.0,1
Cle de Peau The Foundation ,"['OCTINOXATE\u20023.9%', 'TITANIUM\u2002DIOXIDE\u20023.3%', 'WATER', 'DIMETHICONE', 'BUTYLENE\u2002GLYCOL', 'GLYCERIN', 'CETYL\u2002ETHYLHEXANOATE', 'CETYL\u2002PEG/PPG-10/1\u2002DIMETHICONE', 'NEOPENTYL\u2002GLYCOL\u2002DIHEPTANOATE', 'DIPHENYLSILOXY\u2002PHENYL\u2002TRIMETHICONE', 'TREHALOSE', 'TOCOPHERYL\u2002ACETATE', 'ARGANIA\u2002SPINOSA\u2002KERNEL\u2002OIL', 'SODIUM\u2002HYALURONATE', 'SODIUM\u2002DILAURAMIDOGLUTAMIDE\u2002LYSINE', 'MAGNESIUM\u2002CHLORIDE', 'PISTACIA\u2002LENTISCUS\u2002(MASTIC)\u2002GUM', 'GLYCINE', 'PEG/PPG-14/7\u2002DIMETHYL\u2002ETHER', 'BUPLEURUM\u2002FALCATUM\u2002ROOT\u2002EXTRACT', 'ZANTHOXYLUM\u2002PIPERITUM\u2002PEEL\u2002EXTRACT', 'THYMUS\u2002SERPYLLUM\u2002EXTRACT', 'SODIUM\u2002ACETYLATED\u2002HYALURONATE', 'ROSA\u2002ROXBURGHII\u2002FRUIT\u2002EXTRACT', 'ANGELICA\u2002ACUTILOBA\u2002ROOT\u2002EXTRACT', 'HYDROLYZED\u2002CONCHIOLIN\u2002PROTEIN', 'HYDROLYZED\u2002SILK', 'PERILLA\u2002OCYMOIDES\u2002LEAF\u2002EXTRACT', 'DEXTRIN\u2002PALMITATE', 'PEG-9\u2002POLYDIMETHYLSILOXYETHYL\u2002DIMETHICONE', 'ALUMINUM\u2002HYDROXIDE', 'STEARIC\u2002ACID', 'TRISODIUM\u2002EDTA', 'HYDROXYPROPYLCELLULOSE', 'PALMITIC\u2002ACID', 'DIMETHYLACRYLAMIDE/SODIUM\u2002ACRYLOYLDIMETHYLTAURATE\u2002CROSSPOLYMER', 'ALCOHOL', 'DISTEARYLDIMONIUM\u2002CHLORIDE', 'TRIETHOXYCAPRYLYLSILANE', 'SYNTHETIC\u2002FLUORPHLOGOPITE', 'BARIUM\u2002SULFATE', 'CAPRYLIC/CAPRIC\u2002TRIGLYCERIDE', 'ISOPROPYL\u2002ALCOHOL', 'BHT', 'SILICA', 'THEANINE', 'PHENOXYETHANOL', 'CHLORPHENESIN', 'FRAGRANCE', 'TITANIUM\u2002DIOXIDE', 'IRON\u2002OXIDES.']",Foundation,51,[['GLYCERIN']],['humectant'],[],Triple Lipid Restore,5.952380952380952,0,,0.0,1
CHANEL Water Fresh Tint,"['AQUA', 'HYDROGENATED POLYDECENE ', 'GLYCERIN ', 'METHYL GLUCETH-20 ', 'PEG-75 ', 'PENTYLENE GLYCOL ', 'OCTYLDODECANOL ', 'CITRUS AURANTIUM AMARA (BITTER ORANGE) FLOWER EXTRACT ', 'PHENOXYETHANOL ', 'BUTYLENE GLYCOL ', 'POLYHYDROXYSTEARIC ACID ', 'SODIUM CARBOMER ', 'DISTEARDIMONIUM HECTORITE ', 'TAMARINDUS INDICA SEED GUM ', 'ALUMINUM HYDROXIDE ', 'PROPYLENE CARBONATE ', 'AMODIMETHICONE ', 'DISODIUM EDTA ', 'SODIUM LAUROYL GLUTAMATE ', 'ALCALIGENES POLYSACCHARIDES ', 'PARFUM (FRAGRANCE) ', 'LYSINE ', 'MAGNESIUM CHLORIDE ', 'ETHYLHEXYLGLYCERIN ', 'BHT ', '[+ / - (MAY CONTAIN) ', 'CI 77007 (ULTRAMARINES) ', 'CI 77491', '', 'CI 77492', '', 'CI 77499 (IRON OXIDES) ', 'CI 77891 (TITANIUM DIOXIDE) ', 'MICA] ', 'IL27A-I']",Foundation,35,[['GLYCERIN']],['humectant'],[],CHANEL sublimage lessence de teint,26.229508196721312,1,['CHANEL sublimage lessence de teint'],0.25,0
MAELOVE GLOW MAKER SERUM,"['AQUA', 'ASCORBIC ACID', 'ETHOXYDIGLYCOL', 'ALOE BARBADENSIS LEAF JUICE', 'VITIS VINIFERA (GRAPE) SEED EXTRACT', 'GLYCERIN', 'SODIUM HYALURONATE', 'MAGNOLIA OFFICINALIS BARK EXTRACT', 'TOCOPHEROL', 'XANTHAN GUM', 'FERULIC ACID', 'LECITHIN', 'DISODIUM EDTA', 'SODIUM METABISULFITE', 'CITRUS AURANTIUM DULCIS (ORANGE) CALLUS CULTURE EXTRACT', 'ETHYLHEXYGLYCERIN', 'MALTODEXTRIN', 'SODIUM HYDROXIDE', 'GLUCONOLACTONE', 'CALCIUM GLUCONATE', 'PHENOXYETHANOL', 'SODIUM BENZOATE']",nan,22,"[['ASCORBIC ACID'], ['SODIUM HYALURONATE', 'GLYCERIN']]","['vitamin c', 'humectant']",['DO NOT use with AHA/BHA'],Skinceuticals CE Ferulic,30.76923076923077,3,"['Eve Lom Radiance Repair Serum', 'Lacome Advanced Genifique Face Serum', 'LilyAna Vitamin C Serum']",0.75,1
Laniege Cream Skin Milky Toner,"['AQUA', 'BUTYLENE GLYCOL', 'GLYCERIN', 'LIMNANTHES ALBA (MEADOWFOAM) SEED OIL', 'ISOPENTYLDIOL', '1', '2-HEXANEDIOL', 'SQUALANE', 'POLYGLYCERYL-10 STEARATE', 'GLYCERYL STEARATE CITRATE', 'SODIUM STEAROYL GLUTAMATE', 'INULIN LAURYL CARBAMATE', 'GLYCERYL CAPRYLATE', 'ETHYLHEXYLGLYCERIN', 'PROPANEDIOL', 'DISODIUM EDTA', 'CARBOMER', 'MANNITOL', 'ACRYLATES/STEARYL METHACRYLATE COPOLYMER', 'TREMELLA FUCIFORMIS SPOROCARP EXTRACT', 'HYALURONIC ACID', 'CAMELLIA SINENSIS LEAF EXTRACT', 'XANTHAN GUM', 'CERAMIDE NP', 'CAMELLIA JAPONICA FLOWER EXTRACT', 'TOCOPHEROL', 'ACETYL TETRAPEPTIDE-11.']",toner,27,"[['HYALURONIC ACID', 'GLYCERIN'], 'ACETYL TETRAPEPTIDE-11.', 'CERAMIDE NP']","['humectant', 'peptides', 'ceramides']",[],Inkey List Hyalouronic Acid,17.647058823529413,0,,0.0,2
LilyAna Vitamin C Serum,"['AQUA', 'ALOE BARBADENSIS LEAF (ORGANIC ALOE) JUICE', 'SODIUM ASCORBYL PHOSPHATE (VITAMIN C)', 'DIMETHYL SULFONE (MSM)', 'ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER', 'TOCOPHERYL ACETATE (VITAMIN E)', 'SIMMONDSIA CHINENSIS (ORGANIC JOJOBA) SEED OIL', 'SODIUM HYDROXIDE', 'GLYCERIN (KOSHER', 'VEGETABLE)', 'CAESALPINIA SPINOSA GUM (TARA', 'BOTANICAL HYALURONIC ACID)', 'POTASSIUM SORBATE', 'SODIUM BENZOATE', 'ALCOHOL', 'EQUISETUM ARVENSE (HORSETAIL) EXTRACT', 'TARAXACUM OFFICINALE (ORGANIC DANDELION) EXTRACT', 'CENTELLA ASIATICA (ORGANIC GOTU KOLA) EXTRACT', 'GERANIUM MACULATUM (WILD GERANIUM) EXTRACT', 'PHENOXYETHANOL', 'ETHYLHEXYLGLYCERIN']",nan,21,"[['SODIUM ASCORBYL PHOSPHATE'], ['HYALURONIC ACID', 'GLYCERIN']]","['vitamin c', 'humectant']",['DO NOT use with AHA/BHA'],MAELOVE GLOW MAKER SERUM,10.256410256410255,0,,0.0,1
Medik8 Retinol,"['AQUA', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'GLYCERIN', 'ISODODECANE', 'CETEARYL OLIVATE', 'SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER', 'CETEARYL ALCOHOL', 'PPG-12/SMDI COPOLYMER', 'SORBITAN OLIVATE', 'TOCOPHERYL ACETATE', 'TITANIUM DIOXIDE', 'ECLIPTA PROSTRATA EXTRACT', 'CYCLODEXTRIN', 'SQUALANE', 'HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER', 'PHENOXYETHANOL', 'MELIA AZADIRACHTA LEAF EXTRACT', 'HYDROXYPROPYL METHYLCELLULOSE', 'SODIUM HYALURONATE', 'TETRAHEXYLDECYL ASCORBATE', 'RUBUS CHAMAEMORUS (CLOUDBERRY) SEED OIL', 'ALUMINA', 'ISOSTEARIC ACID', 'LECITHIN', 'POLYGLYCERYL-3 POLYRICINOLEATE', 'POLYHYDROXYSTEARIC ACID', 'STEARIC ACID', 'PENTYLENE GLYCOL', 'RETINAL', 'MORINGA OLEIFERA SEED OIL', 'SODIUM POLYASPARTATE', 'CLIMBAZOLE', 'DISODIUM EDTA', 'LONICERA JAPONICA (HONEYSUCKLE) FLOWER EXTRACT', 'LONICERA CAPRIFOLIUM (HONEYSUCKLE) FLOWER EXTRACT', 'DAUCUS CAROTA SATIVA (CARROT) SEED OIL', 'ETHYLHEXYLGLYCERIN', '3-O-ETHYL ASCORBIC ACID', 'DIPTERYX ODORATA (TONKA) BEAN EXTRACT', 'HYDROXYACETOPHENONE', 'POLYSORBATE 60', 'SORBITAN ISOSTEARATE', 'VANILLA PLANIFOLIA (VANILLA) FRUIT EXTRACT', 'DECYLENE GLYCOL', '1', '2-HEXANEDIOL', 'BHT', 'COUMARIN.']",nan,48,"[['TETRAHEXYLDECYL ASCORBATE', 'ASCORBIC ACID', 'ETHYL ASCORBIC ACID', 'ASCORBATE'], ['SODIUM HYALURONATE', 'GLYCERIN']]","['vitamin c', 'humectant']",['DO NOT use with AHA/BHA'],Skin Medica 0.5 Retinol,10.81081081081081,1,['Chantecaille Future Skin Oil-Free Foundation'],0.25,3
